au_id,source_stand_count,source_row_count,observed_bin_count,curve_point_count,age_min,age_max,assignment_weight_basis,ambiguous_stand_count,tie_break_stand_count,lexmatch_stand_count,lexmatch_alias_stand_count,sparse_warning,selected_path,rmse,mape,tail_rmse,accepted
cwhvm2_hw_cw_l,134,15717,49,299,6,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,16.058348,0.0174,17.929704,True
cwhvm2_hw_cw_m,114,14161,49,299,13,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.87973,0.009058,7.517202,True
cwhvm2_hw_dr_h,7,1630,49,299,17,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,5.762402,0.005018,4.330523,True
cwhvm2_hw_dr_l,7,1870,49,299,20,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,5.814441,0.006242,3.366017,True
cwhvm2_hw_dr_m,5,1080,49,299,20,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,6.800387,0.006427,4.542869,True
cwhvm2_hw_fd_h,2,386,49,299,24,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,54.987182,0.029641,68.496404,True
cwhvm2_hw_fd_l,4,131,11,299,250,326,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,34.158243,0.022914,34.158243,True
cwhvm2_hw_fd_m,6,1026,49,299,24,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,8.716033,0.007438,7.412595,True
cwhvm2_hw_fdc_h,1,276,0,0,25,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hw_fdc_l,2,556,49,299,23,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,5.794435,0.005708,4.400379,True
cwhvm2_hw_fdc_m,2,555,49,299,22,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.259478,0.005482,4.89339,True
cwhvm2_hw_h,43,9735,49,299,17,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.584521,0.007299,5.29072,True
cwhvm2_hw_hm_l,3,824,49,299,20,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,7.869228,0.00579,4.676834,True
cwhvm2_hw_hw_l,1,271,0,0,30,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hw_l,62,6797,49,299,16,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,24.546161,0.02819,19.529152,True
cwhvm2_hw_m,28,4322,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,11.278256,0.010294,11.95223,True
cwhvm2_hw_ss_h,2,525,49,299,35,300,shape_area_ha,0,0,0,0,True,smoothed_bin_pchip,5.438822,0.005543,3.465535,True
cwhvm2_hw_ss_l,1,284,0,0,17,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hw_ss_m,1,51,0,0,250,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hw_tw_l,1,256,0,0,45,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_hw_yc_h,50,13155,49,299,16,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,9.175236,0.006649,5.840044,True
cwhvm2_hw_yc_l,63,6069,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,29.018192,0.033933,34.37946,True
cwhvm2_hw_yc_m,33,3136,49,299,17,376,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,31.804174,0.032747,38.875153,True
cwhvm2_pli_l,1,271,0,0,30,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_ss_hw_h,1,271,0,0,30,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_ss_l,1,278,0,0,23,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_sx_fdi_l,1,39,0,0,262,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_sx_l,1,201,0,0,100,300,shape_area_ha,0,0,0,0,True,insufficient_source_stands,,,,False
cwhvm2_yc_ba_h,8,2248,49,299,17,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,10.13771,0.006578,3.790907,True
cwhvm2_yc_ba_l,14,3388,49,299,17,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,4.602321,0.008522,1.884867,True
cwhvm2_yc_ba_m,13,3300,49,299,17,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,7.703851,0.006645,2.874696,True
cwhvm2_yc_cw_h,10,1580,49,299,14,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,56.420713,0.059417,70.430743,True
cwhvm2_yc_cw_l,14,2043,49,299,20,300,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,89.268089,0.212687,93.156594,True
cwhvm2_yc_cw_m,10,1187,49,299,40,326,shape_area_ha,0,0,0,0,False,smoothed_bin_pchip,56.82492,0.125114,30.560473,True
