au_id,base_au,si_level,accepted,selected_path,source_stand_count,age_min,age_max,max_volume,peak_age,peak_volume,terminal_volume,first_age_ge_1,first_age_ge_10,first_age_ge_50,volume_at_80,volume_at_120,volume_at_200,volume_at_250,terminal_uptick_from_post_peak_min,terminal_uptick_ratio,last_20_gain,last_50_gain,max_single_year_drop,max_single_year_gain,negative_year_count,large_negative_year_count,sign_change_count,shape_severity,shape_flags,recommended_action,lmh_order_violation_count,lmh_order_max_violation_m3ha
cmaunp_yc_hw_l,cmaunp_yc_hw,L,False,insufficient_source_stands,1,250,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_ba_cw_h,cwhvh1_ba_cw,H,False,insufficient_source_stands,1,25,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_ba_cw_l,cwhvh1_ba_cw,L,False,insufficient_source_stands,1,50,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_ba_hw_m,cwhvh1_ba_hw,M,False,insufficient_source_stands,1,117,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted;lmh_order_violation,borrow_or_fallback_required,1,304.222638
cwhvh1_ba_ss_l,cwhvh1_ba_ss,L,False,insufficient_source_stands,1,40,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_cw_dr_m,cwhvh1_cw_dr,M,False,insufficient_source_stands,1,27,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted;lmh_order_violation,borrow_or_fallback_required,1,165.720328
cwhvh1_cw_yc_m,cwhvh1_cw_yc,M,False,insufficient_source_stands,11,362,390,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted;lmh_order_violation,borrow_or_fallback_required,1,144.481662
cwhvh1_dr_ba_l,cwhvh1_dr_ba,L,False,insufficient_source_stands,1,50,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_dr_cw_h,cwhvh1_dr_cw,H,False,insufficient_source_stands,1,11,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_dr_cw_l,cwhvh1_dr_cw,L,False,insufficient_source_stands,1,9,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_dr_ss_h,cwhvh1_dr_ss,H,False,insufficient_source_stands,1,61,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_dr_ss_l,cwhvh1_dr_ss,L,False,insufficient_source_stands,1,24,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_fd_hw_h,cwhvh1_fd_hw,H,False,insufficient_source_stands,1,47,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_fd_hw_l,cwhvh1_fd_hw,L,False,insufficient_source_stands,1,27,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_hw_pl_l,cwhvh1_hw_pl,L,False,insufficient_source_stands,1,362,376,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_ss_dr_h,cwhvh1_ss_dr,H,False,insufficient_source_stands,1,27,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_ss_dr_l,cwhvh1_ss_dr,L,False,insufficient_source_stands,1,24,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_yc_h,cwhvh1_yc,H,False,insufficient_source_stands,1,162,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_yc_l,cwhvh1_yc,L,False,insufficient_source_stands,1,362,376,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_yc_hw_l,cwhvh1_yc_hw,L,False,insufficient_source_stands,3,362,376,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted;lmh_order_violation,borrow_or_fallback_required,1,225.617669
cwhvh1_yc_pl_h,cwhvh1_yc_pl,H,False,insufficient_source_stands,1,147,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvh1_yc_pl_l,cwhvh1_yc_pl,L,False,insufficient_source_stands,1,362,376,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvm1_ac_dr_l,cwhvm1_ac_dr,L,False,insufficient_source_stands,1,80,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvm1_ac_hw_l,cwhvm1_ac_hw,L,False,insufficient_source_stands,1,70,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvm1_ac_ss_l,cwhvm1_ac_ss,L,False,insufficient_source_stands,1,30,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvm1_ba_h,cwhvm1_ba,H,False,insufficient_source_stands,1,262,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
cwhvm1_ba_cw_m,cwhvm1_ba_cw,M,False,insufficient_source_stands,1,20,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted;lmh_order_violation,borrow_or_fallback_required,1,154.749052
cwhvm1_ba_yc_l,cwhvm1_ba_yc,L,False,insufficient_source_stands,1,17,300,0.0,0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,insufficient_source,not_accepted,borrow_or_fallback_required,0,0.0
